event_category,event_action,event_label,total_events,unique_events
city_landing,filters-categories_click,Makhachkala / Салтинский водопад,5,3
city_landing,search-tools-button_open,Kyiv / Выбрано: 3,7,7
city_landing,filters-categories_click,Helsinki / По пригородам,1,1
city_landing,price_button_submit,Samara / Показать предложения (27),7,6
city_landing,price_button_submit,Murmansk / Показать предложения (32),8,5
city_landing,price_button_submit,Gagra / Показать предложения (2),7,5
city_landing,pay-type_checkbox,Alanya / Оплата на месте (без предоплаты),55,47
city_landing,price_button_submit,Murmansk / Показать предложения (49),3,3
city_landing,price_button_submit,Moscow / Показать предложения (276),4,2
city_landing,price_button_submit,Sochi / Показать предложения (285),2,2
city_landing,ticket-type_checkbox,Sochi / Группа,1,1
city_landing,filters-categories_click,Ulan-Ude / Сначала самые дешевые,2,2
city_landing,price_button_submit,Kaluga / Показать предложения (14),4,3
city_landing,end_date_click,Kamchatka,3,3
city_landing,price_button_submit,Vladikavkaz / Показать предложения (35),8,8
city_landing,price_button_submit,Saint Petersburg / Показать предложения (223),8,6
city_landing,price_button_submit,Belek / Показать предложения (77),7,6
city_landing,price_button_submit,Sochi / Показать предложения (122),5,5
city_landing,start_date_click,Jerusalem,27,23
city_landing,price_button_submit,Limassol / Показать предложения (3),4,4
city_landing,pay-type_checkbox,Bukhara / Оплата на месте (без предоплаты),2,2
city_landing,filters-categories_click,Vienna / Замки,6,5
city_landing,search-tools-button_open,Sochi / Групповые,3,3
city_landing,price_button_submit,Jerusalem / Показать предложения (12),3,3
city_landing,search-tools-button_open,Ekaterinburg / Выбрано: 0,194,182
city_landing,price_button_submit,Kaliningrad / Показать предложения (86),8,8
city_landing,price_button_submit,Saint Petersburg / Показать предложения (99),5,4
city_landing,price_button_submit,Antalya / Показать предложения (26),9,7
city_landing,search-tools-button_open,Pskov / Индивидуальные,1,1
city_landing,price_button_submit,Yessentuki / Показать предложения (17),14,12
city_landing,search-tools-button_open,Kislovodsk / По рейтингу,224,210
city_landing,dates_filter_mobile,Limassol / Завтра,2,2
city_landing,price_button_submit,Yaroslavl / Показать предложения (50),2,2
City Page,Page Visit,Marburg,20,19
city_landing,price_button_submit,Vienna / Ничего не найдено :(,17,14
city_landing,price_button_submit,Dubai / Показать предложения (48),2,2
city_landing,filters-categories_click,Moscow / ЭКСКУРСИЯ ПО БОЛЬШОМУ ТЕАТРУ В МОСКВЕ,1,1
city_landing,end_date_click,Gagra,25,20
city_landing,ticket-type_checkbox,Batumi / Индивидуальная (гид проведёт экскурсию только для вас и ваших друзей),35,25
city_landing,search-tools-button_open,Sevastopol / Выбрано: 5,4,4
city_landing,price_button_submit,Ekaterinburg / Показать предложения (13),6,6
city_landing,search-tools-button_open,Sharm-el-Sheikh / Выбрано: 0,286,267
city_landing,price_button_submit,Minsk / Показать предложения (21),2,2
city_landing,price_button_submit,Yerevan / Показать предложения (21),10,7
city_landing,price_button_submit,Sevastopol / Показать предложения (53),9,7
city_landing,search-tools-button_open,Pskov / Все,50,47
city_landing,end_date_click,Gdansk,3,2
city_landing,price_button_submit,Petrozavodsk / Показать предложения (37),4,3
city_landing,price_button_submit,Murmansk / Показать предложения (16),4,3
city_landing,search-tools-button_open,Amman / Категории,1,1
city_landing,search-tools-button_open,Kislovodsk / Категории ЭКСКУРСИИ ИЗ КИСЛОВОДСКА ОТЗЫВЫ,1,1
city_landing,search-tools-button_open,Veliky Novgorod / По рейтингу,92,84
city_landing,filters-categories_click,Nalchik / Долина нарзанов,2,2
City Page,Page Visit,Pavlovsky Posad,7,6
city_landing,price_button_submit,Barcelona / Показать предложения (92),2,2
city_landing,filters-categories_click,Phuket / На слонах,2,1
city_landing,filters-categories_click,Hévíz / Групповые,9,9
city_landing,search-tools-button_open,Tyumen / Категории,15,14
City Page,Page Visit,Zaporozhye,5,4
city_landing,search-tools-button_open,Petropavlovsk-Kamchatsky / Категории Все,1,1
city_landing,price_button_submit,Saint Petersburg / Показать предложения (35),63,61
city_landing,price_button_submit,Saint Petersburg / Показать предложения (684),12,12
city_landing,filters-categories_click,Saint Petersburg / ПЕТЕРБУРГ ЭКСКУРСИИ НА МЕТЕОРЕ,5,3
city_landing,price_button_submit,Sharjah / Показать предложения (6),1,1
city_landing,filters-categories_click,Adler / Индивидуальные,37,26
city_landing,search-tools-button_open,Gagra / Выбрано: 2,1,1
city_landing,price_button_submit,Abakan / Показать предложения (21),2,2
city_landing,filters-categories_click,Saratov / История и культура,1,1
city_landing,search-tools-button_open,Koktebel / Категории,5,5
city_landing,search-tools-button_open,Minsk / Выбрано: 3,10,9
city_landing,price_button_submit,Ulan-Ude / Показать предложения (12),1,1
city_landing,price_button_submit,Rome / Показать предложения (43),3,3
city_landing,start_date_click,Abu Dhabi,6,6
city_landing,price_button_submit,Athens / Показать предложения (36),2,2
city_landing,price_button_submit,Krasnoyarsk / Показать предложения (37),1,1
city_landing,price_button_submit,Irkutsk / Показать предложения (10),5,5
city_landing,price_button_submit,Arkhangelsk / Показать предложения (19),2,1
city_landing,start_date_click,Cologne,5,3
city_landing,search-tools-button_open,Smolensk / Выбрано: 3,3,3
city_landing,price_button_submit,Sharjah / Показать предложения (16),13,12
city_landing,search-tools-button_open,Alushta / ЭКСКУРСИИ ИЗ АЛУШТЫ,1,1
city_landing,filters-categories_click,Tbilisi / ОБЗОРНАЯ ЭКСКУРСИЯ ПО ТБИЛИСИ,1,1
city_landing,price_button_submit,Saint Petersburg / Показать предложения (690),18,16
city_landing,price_button_submit,Jerusalem / Показать предложения (6),2,2
city_landing,price_button_submit,Nizhny Novgorod / Показать предложения (11),6,6
city_landing,search-tools-button_open,Toledo / Выбрано: 0,1,1
city_landing,search-tools-button_open,Smolensk / Фильтры Выбрано: 3,1,1
city_landing,price_button_submit,Antalya / Показать предложения (60),2,2
city_landing,clear_filter_mobile,Krasnodar,31,23
city_landing,price_second,Gelendzhik,16,10
city_landing,search-tools-button_open,New York / По рейтингу,6,6
City Page,Page Visit,New Zeland,10,9
city_landing,filters-categories_click,Tyumen / По рейтингу,1,1
city_landing,end_date_click,Riga,4,4
city_landing,filters-categories_click,New York / Популярные,2,2
city_landing,price_button_submit,Kazan / Показать предложения (32),18,14
city_landing,ticket-type_checkbox,Doha / Индивидуальная (гид проведёт экскурсию только для вас и ваших друзей),5,4
city_landing,price_button_submit,Petrozavodsk / Показать предложения (32),2,2
City Page,Page Visit,Nuremberg,145,113
city_landing,price_button_submit,Moscow / Показать предложения (114),10,9
city_landing,price_button_submit,Nizhny Novgorod / Показать предложения (39),33,28
city_landing,filters-categories_click,Tbilisi / Из Тбилиси по Грузии,144,102
city_landing,price_button_submit,Ekaterinburg / Показать предложения (76),6,5
city_landing,price_button_submit,Antalya / Показать предложения (17),7,7
city_landing,price_first,Sharjah,5,4
city_landing,search-tools-button_open,Yakutsk / Все,1,1
city_landing,price_button_submit,Paphos / Показать предложения (5),39,35
city_landing,search-tools-button_open,Kaliningrad / Пешеходные,8,8
city_landing,filters-categories_click,Adler / По рейтингу,39,30
city_landing,clear_filter_mobile,Kislovodsk,109,85
city_landing,filters-categories_click,Maykop / Сначала самые популярные,5,5
city_landing,filters-categories_click,Novosibirsk / Выездные,15,13
city_landing,filters-categories_click,Alushta / Пешеходные,17,14
city_landing,search-tools-button_open,Anapa / ЭКСКУРСИИ В АНАПЕ С ДЕТЬМИ,1,1
city_landing,search-tools-button_open,Petropavlovsk-Kamchatsky / Пешеходные,1,1
city_landing,price_button_submit,Gdansk / Показать предложения (4),1,1
city_landing,price_button_submit,Warsaw / Показать предложения (1),2,2
city_landing,price_button_submit,Naples / Показать предложения (39),1,1
city_landing,search-tools-button_open,Tashkent / Сортировка,1,1
city_landing,price_button_submit,Kislovodsk / Показать предложения (97),1,1
city_landing,filters-categories_click,Murmansk / Полуостров Рыбачий,20,15
city_landing,filters-categories_click,Kabardinka / Сначала самые дешевые,1,1
city_landing,price_button_close,Astana,4,4
